64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2754","2026","Bryson Glassco","Oregon St.","DH","Jr","13","0.303","0.385","0.515","8","33","10","1","0","17","2","6","3","2","1","0","6","1","0","2","0","39"
"2755","2026","Tanner Simpson","Lindenwood","DH","Sr","17","0.220","0.316","0.340","5","50","11","3","0","17","1","5","7","0","0","0","17","1","0","2","0","57"
"2756","2026","Gavin Thorburn","Siena","RF","Sr","22","0.288","0.407","0.364","10","66","19","3","1","24","0","9","11","3","1","1","7","0","1","5","0","82"
"2757","2026","Connor Walker","McNeese","C","Fr","17","0.176","0.349","0.471","10","34","6","1","0","16","3","8","4","5","0","0","6","0","0","0","0","43"
"2758","2026","Nick Andersen","Holy Cross","RF","So","17","0.261","0.414","0.391","8","46","12","3","0","18","1","8","10","2","0","0","18","2","0","1","0","58"
"2759","2026","Tony Konopiots","Oakland","LF","So","24","0.239","0.320","0.375","12","88","21","4","1","33","2","14","7","4","1","0","22","0","0","1","0","100"
"2760","2026","Louis Bartletti","William & Mary","LF","Sr","24","0.194","0.308","0.269","11","67","13","3","1","18","0","7","11","0","0","0","19","3","0","8","0","78"
"2761","2026","Nathan Ball","Central Mich.","DH","Jr","14","0.353","0.425","0.471","3","34","12","4","0","16","0","7","5","0","1","0","9","0","0","0","0","40"
"2762","2026","Hudson Manwaring","Utah Tech","RF","Jr","27","0.225","0.319","0.263","14","80","18","1","1","21","0","13","9","3","2","5","20","3","1","6","0","99"
"2763","2026","Kevin Karstetter","Penn St.","1B","Sr","11","0.250","0.375","0.333","3","24","6","2","0","8","0","4","3","3","2","0","5","1","0","1","0","32"
"2764","2026","Grady Mee","Kent St.","2B","Sr","22","0.236","0.417","0.345","11","55","13","1","1","19","1","14","12","5","0","1","20","2","0","6","0","73"
"2765","2026","Kingsley Guthrie","Murray St.","C","So","15","0.300","0.429","0.500","11","40","12","3","1","20","1","7","5","4","0","1","10","0","0","3","0","50"
"2766","2026","Dylan Schaefer","Queens (NC)","SS","Jr","30","0.174","0.276","0.293","9","92","16","6","1","27","1","10","8","5","0","4","40","2","1","3","0","109"
"2767","2026","Justin Vossos","Texas St.","2B","Jr","7","0.500","0.500","1.100","2","10","5","1","1","11","1","1","0","0","0","0","1","0","0","0","0","10"
"2768","2026","Frank Wells","Ga. Southern","3B","Fr","20","0.214","0.306","0.333","7","42","9","2","0","14","1","8","4","2","1","3","9","1","0","0","0","52"
"2769","2026","Cole Meyer","Toledo","DH","Sr","23","0.290","0.532","0.419","11","31","9","1","0","13","1","8","13","3","0","0","9","1","0","1","0","47"
"2770","2026","Bryce Campbell","New Mexico St.","2B","Sr","21","0.243","0.337","0.351","8","74","18","2","0","26","2","14","9","2","1","0","24","2","0","3","1","86"
