Team Rk,Year,School,Conference,P-OPS,WHIP,FIP,OPS,wOBA,R/PA,RC/AB,RA/AB,wRC35,wRA35,wRE35,Rk - wRE35
"196","2026","UT Martin","OVC","0.874","1.72","5.43","0.893","0.390","0.20","0.19","0.18","4.71","0.06","4.76","0.342"
"197","2026","Binghamton","America East","0.855","1.63","5.04","0.752","0.341","0.16","0.15","0.18","3.04","0.69","3.72","0.212"
"198","2026","New Orleans","Southland","0.811","1.67","5.40","0.821","0.366","0.15","0.16","0.16","3.63","0.69","4.32","0.287"
"199","2026","Lipscomb","ASUN","0.867","1.77","5.73","0.830","0.368","0.16","0.17","0.18","4.00","1.85","5.85","0.479"
"200","2026","Bowling Green","MAC","0.912","1.89","4.87","0.714","0.321","0.13","0.12","0.20","3.09","1.04","4.13","0.267"
"201","2026","Stonehill","NEC","0.788","1.66","5.18","0.802","0.363","0.18","0.15","0.15","3.13","0.92","4.05","0.261"
"202","2026","Brown","Ivy League","0.750","1.62","4.77","0.730","0.330","0.15","0.13","0.14","3.04","2.11","5.15","0.388"
"203","2026","Xavier","Big East","0.891","1.74","5.70","0.738","0.329","0.12","0.13","0.19","4.22","0.67","4.90","0.355"
"204","2026","Western Ill.","OVC","0.928","1.92","5.82","0.781","0.350","0.15","0.15","0.21","3.83","1.08","4.90","0.358"
"205","2026","Southern Ill.","MVC","0.758","1.55","4.97","0.764","0.342","0.14","0.14","0.14","3.56","3.45","7.02","0.622"
"206","2026","Belmont","MVC","0.869","1.60","5.30","0.761","0.338","0.14","0.14","0.18","4.61","1.61","6.22","0.531"
